tract,white_hh,black_hh,latino_hh,asian_hh,oth_hh,non_white_hh,white_owners,black_owners,latino_owners,asian_owners,oth_owners,non_white_owners,loans_white,loans_black,loans_latino,loans_asian,loans_oth,loans_non_white,loans_miss,amount_white,amount_black,amount_latino,amount_asian,amount_oth,amount_non_white,amount_miss,loans_lmi,loans_mi,loans_ui,amount_lmi,amount_mi,amount_ui,loans_low_inc,amount_low_inc,total_owners,total_hh,total_loans,total_loan_amount,white_hh_share,black_hh_share,latino_hh_share,asian_hh_share,oth_hh_share,non_white_hh_share,white_own_shr,black_own_shr,latino_own_shr,asian_own_shr,oth_own_shr,non_white_own_shr,loans_white_shr,loans_black_shr,loans_latino_shr,loans_asian_shr,loans_oth_shr,loans_non_white_shr,loans_miss_shr,community_def_race,med_income_msa_shr,income_level,low_inc,loans_lmi_shr,loans_mi_shr,loans_ui_shr,community_area,sb_count,sb_amount,loan_to_sb_count,loan_to_sb_amount,ams_res,ams_bus,ams_oth,loans_Bank,loans_Credit_Union,loans_IMB,loans_Other,volume_Bank,volume_Credit_Union,volume_IMB,volume_Other,top_3_shr,loans_Large,loans_Medium,loans_Small,volume_Large,volume_Medium,volume_Small,loans_cra,cra_non_white_bor,retail_area_loans
440700,31,528,0,0,5,533,16,351,0,0,5,356,0,32,3,0,0,35,11,0,5480000,795000,0,0,6275000,2765000,24,18,4,3670000,4280000,1090000,15,2535000,372,564,35,6275000,0.054964539,0.936170213,0,0,0.008865248,0.945035461,0.043010753,0.943548387,0,0,0.01344086,0.956989247,0,0.914285714,0.085714286,0,0,1,0.314285714,Minority Com,58.31,LMI,low_inc,0.52173913,0.391304348,0.086956522,Chatham,45,820,21,391,657,24,45,11,0,24,0,1605000,0,4670000,0,0.342857143,3,3,5,545000,465000,595000,8,6,NA
440800,11,700,10,15,0,725,11,180,0,0,0,180,0,17,1,0,0,18,5,0,3335000,145000,0,0,3480000,1235000,13,7,2,2615000,1415000,550000,9,1935000,191,736,18,3480000,0.014945652,0.951086957,0.013586957,0.020380435,0,0.985054348,0.057591623,0.942408377,0,0,0,0.942408377,0,0.944444444,0.055555556,0,0,1,0.277777778,Minority Com,31.32,LMI,not_low,0.590909091,0.318181818,0.090909091,Chatham,36,385,22,208,874,29,151,4,1,13,0,650000,195000,2635000,0,0.555555556,3,0,1,455000,0,195000,3,3,NA
440900,0,869,0,0,18,887,0,395,0,0,12,407,0,83,1,0,1,85,11,0,15535000,315000,0,0,15850000,1975000,52,40,4,8870000,8370000,900000,31,6135000,407,887,85,15850000,0,0.979706877,0,0,0.020293123,1,0,0.970515971,0,0,0.029484029,1,0,0.976470588,0.011764706,0,0.011764706,1,0.129411765,Minority Com,57.44,LMI,low_inc,0.541666667,0.416666667,0.041666667,Chatham,58,747,19,141,1109,61,75,19,0,66,0,3775000,0,12390000,0,0.329411765,10,4,5,2020000,850000,905000,16,16,NA
450300,31,1314,0,0,55,1369,0,808,0,0,12,820,0,88,4,0,2,94,21,0,17840000,590000,0,0,18430000,3985000,59,33,23,9965000,7495000,5115000,40,7020000,820,1400,94,18430000,0.022142857,0.938571429,0,0,0.039285714,0.977857143,0,0.985365854,0,0,0.014634146,1,0,0.936170213,0.042553191,0,0.021276596,1,0.223404255,Minority Com,68.95,LMI,low_inc,0.513043478,0.286956522,0.2,Avalon Park,169,3576,66,967,1361,162,137,27,4,63,0,5535000,860000,12195000,0,0.29787234,10,2,15,2220000,250000,3065000,16,13,1
460100,37,1036,136,16,15,1203,27,257,99,0,12,368,1,30,3,0,0,33,7,205000,5770000,505000,0,0,6275000,1095000,25,11,5,4345000,2235000,995000,17,3375000,395,1240,34,6480000,0.02983871,0.835483871,0.109677419,0.012903226,0.012096774,0.97016129,0.06835443,0.650632911,0.250632911,0,0.030379747,0.93164557,0.029411765,0.882352941,0.088235294,0,0,0.970588235,0.205882353,Minority Com,44.4,LMI,not_low,0.609756098,0.268292683,0.12195122,South Chicago,50,1221,25,892,1364,77,227,8,0,26,0,1470000,0,5010000,0,0.441176471,8,0,0,1470000,0,0,8,6,NA
460200,85,340,418,0,0,758,52,73,210,0,0,283,0,15,8,0,0,23,1,0,2555000,980000,0,0,3535000,125000,18,4,2,2330000,740000,590000,9,1075000,335,843,23,3535000,0.100830368,0.403321471,0.495848161,0,0,0.899169632,0.155223881,0.217910448,0.626865672,0,0,0.844776119,0,0.652173913,0.347826087,0,0,1,0.043478261,Minority Com,39.04,LMI,not_low,0.75,0.166666667,0.083333333,South Chicago,26,3148,8,74,709,43,153,9,0,14,0,1635000,0,1900000,0,0.260869565,5,2,2,985000,260000,390000,6,6,1
460301,21,764,362,0,4,1130,21,313,168,0,2,483,3,34,15,0,1,50,7,455000,6030000,1995000,0,195000,8220000,1025000,42,11,7,6130000,1965000,1605000,28,4610000,504,1151,53,8675000,0.018245004,0.663770634,0.314509123,0,0.003475239,0.981754996,0.041666667,0.621031746,0.333333333,0,0.003968254,0.958333333,0.056603774,0.641509434,0.283018868,0,0.018867925,0.943396226,0.132075472,Minority Com,56.56,LMI,low_inc,0.7,0.183333333,0.116666667,South Chicago,31,783,11,527,1008,39,119,11,0,42,0,1715000,0,6960000,0,0.245283019,6,3,2,840000,485000,390000,11,9,NA
460302,58,983,68,0,5,1056,35,378,31,0,1,410,3,46,6,0,1,53,13,605000,7750000,800000,0,0,8550000,2545000,49,14,5,7915000,2690000,1145000,33,5755000,445,1114,56,9155000,0.052064632,0.882405745,0.061041293,0,0.00448833,0.947935368,0.078651685,0.849438202,0.069662921,0,0.002247191,0.921348315,0.053571429,0.821428571,0.107142857,0,0.017857143,0.946428571,0.232142857,Minority Com,39.88,LMI,not_low,0.720588235,0.205882353,0.073529412,South Chicago,48,570,14,163,1291,46,180,14,1,41,0,2530000,55000,6725000,0,0.321428571,5,0,9,755000,0,1775000,7,6,NA
460400,15,1143,10,0,0,1153,15,500,10,0,0,510,2,54,8,0,4,66,11,440000,10220000,1120000,0,155000,11495000,2365000,46,28,5,7900000,5760000,1125000,29,5595000,525,1168,68,11935000,0.012842466,0.97859589,0.008561644,0,0,0.987157534,0.028571429,0.952380952,0.019047619,0,0,0.971428571,0.029411765,0.794117647,0.117647059,0,0.058823529,0.970588235,0.161764706,Minority Com,75.05,LMI,low_inc,0.582278481,0.35443038,0.063291139,South Chicago,61,637,32,218,1356,51,285,18,0,50,0,3310000,0,9110000,0,0.294117647,6,4,8,870000,670000,1770000,10,9,NA
460500,7,2426,10,0,7,2443,7,1277,10,0,7,1294,4,103,4,2,2,111,26,660000,21385000,450000,430000,0,22265000,5170000,60,51,29,10160000,10435000,7775000,51,9095000,1301,2450,115,22925000,0.002857143,0.990204082,0.004081633,0,0.002857143,0.997142857,0.005380477,0.981552652,0.007686395,0,0.005380477,0.994619523,0.034782609,0.895652174,0.034782609,0.017391304,0.017391304,0.965217391,0.226086957,Minority Com,58.16,LMI,low_inc,0.428571429,0.364285714,0.207142857,South Chicago,179,2306,88,1075,2243,136,238,36,2,77,0,7070000,300000,15935000,0,0.234782609,18,4,14,3840000,590000,2640000,18,16,1
