Loan Date,Lender,Block,Street Direction,Street Name,Street Type,City,State,Zip,Ward,Industry,Latitude,Longitude,Location
12/11/2015,CNI,089XX,S,Euclid,Avenue,Chicago,IL,60617,8,Other Services - Education,41.731882963,-87.576953624,"(41.731883, -87.576954)"
04/09/2014,Accion,073XX,S,Artesian,Avenue,Chicago,IL,60629,18,Retail Sales - Other,41.759524141,-87.684473522,"(41.759524, -87.684474)"
05/07/2013,Accion,093XX,S,Halsted,Street,Chicago,IL,60620,21,Beauty/Salon Services,41.72357081,-87.643414424,"(41.723571, -87.643414)"
05/20/2014,Accion,055XX,W,Belmont,Avenue,Chicago,IL,60641,31,Professional/Off Svc,41.938688594,-87.766123438,"(41.938689, -87.766123)"
07/25/2014,Accion,046XX,S,Kolin,Avenue,Chicago,IL,60632,14,Retail Sales - Other,41.808075695,-87.732539098,"(41.808076, -87.732539)"
08/14/2014,Accion,000XX,E,102nd,Place,Chicago,IL,60628,9,Professional/Off Svc,41.708212377,-87.621623588,"(41.708212, -87.621624)"
04/24/2013,Accion,006XX,S,Wabash,Avenue,Chicago,IL,60605,4,Retail Sales - Other,41.873347292,-87.626117642,"(41.873347, -87.626118)"
06/29/2015,CNI,009XX,W,North,Avenue,Chicago,IL,60642,21,Transportation,41.910951382,-87.653010859,"(41.910951, -87.653011)"
05/15/2015,WBDC,010XX,S,Western,Avenue,Chicago,IL,60612,25,Retail Sales - Other,41.868456183,-87.686235717,"(41.868456, -87.686236)"
11/10/2012,Accion,017XX,E,71st,Street,Chicago,IL,60649,7,Professional/Off Svc,41.766297058,-87.581683507,"(41.766297, -87.581684)"
11/03/2015,WBDC,000XX,W,Schiller,Street,Chicago,IL,60610,2,Entertainment/Manufacturing,41.90796282,-87.630584687,"(41.907963, -87.630585)"
08/04/2015,CNI,056XX,,Mannheim,Road,Chicago,IL,60666,16,Other Services - Barbershop,41.981355689,-87.879182873,"(41.981356, -87.879183)"
10/20/2012,Accion,032XX,W,Douglas,Boulevard,Chicago,IL,60623,24,Professional/Off Svc,41.863049108,-87.707581493,"(41.863049, -87.707581)"
12/10/2012,Accion,007XX,E,75th,Street,Chicago,IL,60619,6,Medical Services,41.758680511,-87.605796969,"(41.758681, -87.605797)"
11/10/2012,Accion,043XX,N,Campbell,Street,Chicago,IL,60618,47,Wholesale,41.961010339,-87.691944203,"(41.96101, -87.691944)"
09/12/2013,CNI,117XX,S,Elizabeth,Street,Chicago,IL,60628,34,Construction/Repair,41.67980097,-87.653079115,"(41.679801, -87.653079)"
12/09/2013,Accion,006XX,W,Cermak,Rd.,Chicago,IL,60616,25,Wholesale,41.852790641,-87.64364221,"(41.852791, -87.643642)"
01/15/2015,CNI,053XX,S,Greenwood,Avenue,Chicago,IL,60615,5,Service,41.798022972,-87.599856389,"(41.798023, -87.599856)"
10/06/2015,Accion,017XX,W,Chicago,Avenue,Chicago,IL,60622,1,Entertainment,41.896110115,-87.671694946,"(41.89611, -87.671695)"
04/19/2013,WBDC,020XX,W,Greenleaf,Street,Chicago,IL,60645,49,,42.010263349,-87.682413424,"(42.010263, -87.682413)"
11/10/2012,Accion,017XX,N,Damen,Avenue,Chicago,IL,60647,32,Clothing/Material Production,41.913788046,-87.677684427,"(41.913788, -87.677684)"
02/13/2015,Accion,035XX,W,63rd,Street,Chicago,IL,60629,23,Restaurant - Full Service,41.77893795,-87.712384286,"(41.778938, -87.712384)"
07/23/2013,WBDC,054XX,W,Devon,Avenue,Chicago,IL,60646,39,Day Care,41.997458858,-87.765754186,"(41.997459, -87.765754)"
04/29/2013,Accion,002XX,W,St. Paul,Street,Chicago,IL,60614,43,Professional/Off Svc,41.913707771,-87.636695887,"(41.913708, -87.636696)"
,WBDC,038XX,N,Cicero,Avenue,Chicago,IL,60641,38,Retail Sales - Other,41.951291257,-87.74740523,"(41.951291, -87.747405)"
01/30/2015,WBDC,007XX,W,Washington,Street,Chicago,IL,60661,42,Professional/Off Svc,41.883256433,-87.647365592,"(41.883256, -87.647366)"
05/20/2013,Accion,006XX,N,Milwaukee,Avenue,Chicago,IL,60642,27,Clothing/Material Production,41.893222744,-87.650960012,"(41.893223, -87.65096)"
05/01/2014,CNI,003XX,E,115th,Street,Chicago,IL,60628,9,Construction/Repair,41.685533059,-87.6135524,"(41.685533, -87.613552)"
12/23/2015,WBDC,036XX,S,Halsted,Street,Chicago,IL,60609,11,Day Care,41.827682151,-87.646181967,"(41.827682, -87.646182)"
05/18/2013,Accion,040XX,S,Kedzie,Avenue,Chicago,IL,60632,12,Food/Beverage,41.819318843,-87.704557578,"(41.819319, -87.704558)"
04/07/2015,WBDC,011XX,S,State,Street,Chicago,IL,60605,2,Other Services,41.867936373,-87.627580413,"(41.867936, -87.62758)"
05/10/2013,Accion,009XX,E,47th,Street,Chicago,IL,60653,4,Beauty/Salon Services,41.809696835,-87.601757992,"(41.809697, -87.601758)"
01/18/2016,Accion,001XX,N,Clark,St,Chicago,IL,60601,42,Other Services,41.884535737,-87.631084951,"(41.884536, -87.631085)"
02/18/2015,Accion,010XX,N,California,Avenue,Chicago,IL,60622,26,Restaurant - Full Service,41.900760711,-87.696975027,"(41.900761, -87.696975)"
12/11/2015,CNI,017XX,W,104th,Place,Chicago,IL,60643,19,Manufacturing,41.70401463,-87.66669565,"(41.704015, -87.666696)"
09/22/2015,CNI,067XX,S,South Chicago,Avenue,Chicago,IL,60637,7,Other Services,41.771818686,-87.614077935,"(41.771819, -87.614078)"
02/28/2013,Accion,113XX,S.,Bell,Avenue,Chicago,IL,60643,19,Professional/Off Svc,41.686896909,-87.676999722,"(41.686897, -87.677)"
02/16/2016,Accion,029XX,W,Pershing,Rd.,Chicago,IL,60632,12,Food/Beverage,41.822807198,-87.69911434,"(41.822807, -87.699114)"
11/19/2014,Accion,037XX,W,Cermak,Rd.,CHICAGO,IL,60623,22,Retail Stores,41.851722608,-87.719448564,"(41.851723, -87.719449)"
06/25/2013,WBDC,003XX,W,18th,Street,Chicago,IL,60616,25,Retail Sales - Other,41.857814473,-87.636746844,"(41.857814, -87.636747)"
05/02/2013,CNI,000XX,E,Washington,Street,Chicago,IL,60602,42,Professional/Off Svc,41.883330907,-87.62603979,"(41.883331, -87.62604)"
12/11/2015,Accion,043XX,N,Lincoln,Avenue,Chicago,IL,60618,47,Medical Services,41.9611988,-87.683869818,"(41.961199, -87.68387)"
06/03/2015,Accion,059XX,S,Michigan,Avenue,Chicago,IL,60637,20,Construction/Repair,41.785900266,-87.622383571,"(41.7859, -87.622384)"
04/30/2013,Accion,017XX,N,Western,Avenue,Chicago,IL,60645,1,Day Care,41.913605732,-87.687454197,"(41.913606, -87.687454)"
07/03/2013,CNI,034XX,W,76th,Place,Chicago,IL,60652,18,Construction/Repair,41.754695049,-87.709448594,"(41.754695, -87.709449)"
08/30/2013,Accion,030XX,N,Lincoln,Avenue,Chicago,IL,60641,47,Retail Sales - Other,41.937149264,-87.665352278,"(41.937149, -87.665352)"
08/21/2013,Accion,033XX,N,Paulina,Street,Chicago,IL,60626,47,Professional/Off Svc,41.942987046,-87.671331836,"(41.942987, -87.671332)"
05/30/2013,CNI,048XX,S,Forestville,Avenue,Chicago,IL,60615,4,Education,41.806118546,-87.612741496,"(41.806119, -87.612741)"
12/16/2015,Accion,038XX,W,Montrose,Avenue,Chicago,IL,60618,35,Food/Beverage,41.961091681,-87.72500737,"(41.961092, -87.725007)"
03/20/2013,Accion,033XX,W,59th ,Street,Chicago,IL,60629,23,Beauty/Salon Services,41.786287906,-87.707836726,"(41.786288, -87.707837)"
05/13/2013,Accion,002XX,N,Pulaski,Avenue,Chicago,IL,60624,28,Food/Beverage,41.884873046,-87.725935624,"(41.884873, -87.725936)"
11/10/2012,Accion,018XX,S,Clark,Street,Chicago,IL,60616,43,Clothing/Material Production,41.85663565,-87.630345428,"(41.856636, -87.630345)"
12/20/2012,Accion,006XX,E,75th,Street,Chicago,IL,60619,6,Food/Beverage,41.758642167,-87.608238768,"(41.758642, -87.608239)"
04/16/2015,Accion,001XX,S,Hamlin,Boulevard,Chicago,IL,60624,28,Other Services,41.878284228,-87.720804134,"(41.878284, -87.720804)"
04/07/2015,WBDC,017XX,W,Lawrence,Avenue,Chicago,IL,60660,47,,41.968945848,-87.67299374,"(41.968946, -87.672994)"
02/26/2015,Accion,008XX,S,Wabash,Avenue,Chicago,IL,60605,4,Electronics,41.871184354,-87.62606949,"(41.871184, -87.626069)"
01/10/2012,Accion,016XX,W,21st ,Street,Chicago,IL,60608,25,Retail Stores,41.854222612,-87.668174117,"(41.854223, -87.668174)"
05/21/2014,Accion,080XX,S,Stony Island,Avenue,Chicago,IL,60617,8,Auto/Vehicle,41.748143549,-87.586046897,"(41.748144, -87.586047)"
11/10/2014,Accion,106XX,S,Halsted,Street,Chicago,IL,60628,34,Day Care,41.69995513,-87.642763331,"(41.699955, -87.642763)"
08/28/2013,WBDC,064XX,S,Washtenaw,Avenue,Chicago,IL,60629,15,Transportation,41.77572258,-87.691015878,"(41.775723, -87.691016)"
11/27/2013,Accion,045XX,S,Leamington,Street,Chicago,IL,60638,22,Professional/Off Svc,41.809651235,-87.751917263,"(41.809651, -87.751917)"
03/19/2015,Accion,016XX,N,Tripp,Avenue,Chicago,IL,60639,26,Transportation,41.911306184,-87.732633806,"(41.911306, -87.732634)"
